@relation 0706

@attribute JenisKelamin {Pria,Wanita}
@attribute IPK {CumLaude,Memuaskan,DiBawah275,SangatMemuaskan}
@attribute Psikologi {Baik,CukupBaik,SangatBaik}
@attribute IQ {VerySuperior,Superior,BelowAverage,Genius,AboveAverage,Average,Borderline}
@attribute StatusKerja {BekerjadanWiraswasta,MelanjutkanStudi,Bekerja,TidakBekerja,Wirausaha}
@attribute KategoriPerusahaan {Nasional,Lainnya,Lokal,Multinasional}
@attribute KesesuaianKerjadanKuliah {TidakSesuai,Sesuai}
@attribute Jabatan {Staf,LainnyaTidakBekerja,Pemilik,Magang,Manajer,Direktur}
@attribute Gaji {SangatTinggi,Nol,Tinggi,Sedang,Rendah,SangatRendah}
@attribute Bonus {Besar,TidakAdaBonus,Sedang,Kecil}
@attribute KepuasanKerja {Puas,TidakPuas}
@attribute KetepatanWaktuLulus {TepatWaktu,TidakTepatWaktu}
@attribute KeaktifanOrganisasi {Aktif,TidakAktif,KurangAktif,CukupAktif}
@attribute StatusLulus {Lulus,TidakLulus}

@data
Wanita,Memuaskan,Baik,Genius,Bekerja,Multinasional,Sesuai,Staf,Tinggi,Sedang,TidakPuas,TepatWaktu,Aktif,Lulus
Pria,SangatMemuaskan,CukupBaik,Average,MelanjutkanStudi,Lainnya,TidakSesuai,LainnyaTidakBekerja,Nol,TidakAdaBonus,Puas,TepatWaktu,TidakAktif,Lulus
Pria,Memuaskan,Baik,BelowAverage,BekerjadanWiraswasta,Nasional,TidakSesuai,Pemilik,Tinggi,TidakAdaBonus,Puas,TidakTepatWaktu,Aktif,Lulus
Pria,SangatMemuaskan,CukupBaik,BelowAverage,Bekerja,Multinasional,TidakSesuai,Staf,Tinggi,Besar,Puas,TepatWaktu,Aktif,Lulus
Pria,Memuaskan,Baik,VerySuperior,Bekerja,Multinasional,TidakSesuai,Staf,Tinggi,Besar,TidakPuas,TidakTepatWaktu,Aktif,Lulus
Pria,SangatMemuaskan,Baik,Average,MelanjutkanStudi,Lainnya,TidakSesuai,LainnyaTidakBekerja,Nol,TidakAdaBonus,Puas,TepatWaktu,TidakAktif,Lulus
Pria,Memuaskan,CukupBaik,BelowAverage,Bekerja,Multinasional,Sesuai,Staf,Sedang,Besar,TidakPuas,TidakTepatWaktu,KurangAktif,Lulus
Pria,Memuaskan,Baik,VerySuperior,Bekerja,Nasional,Sesuai,Staf,Tinggi,Sedang,TidakPuas,TepatWaktu,Aktif,Lulus
Pria,Memuaskan,Baik,Average,Bekerja,Nasional,TidakSesuai,Staf,Tinggi,Besar,TidakPuas,TepatWaktu,Aktif,Lulus
Pria,Memuaskan,CukupBaik,BelowAverage,Bekerja,Multinasional,Sesuai,Staf,Tinggi,TidakAdaBonus,TidakPuas,TepatWaktu,CukupAktif,Lulus
